ID,SMILES,IC50,pIC50
CHEMBL565644,CN(CCCn1cnc2c1ccc(c2)c1c2CCCn2nc1c1ccccn1)C,398,6.4
CHEMBL269339,Fc1ccc(cc1)c1nc([nH]c1c1ccccn1)c1ccc(cc1)C(=O)O,1500,5.824
CHEMBL122414,OCc1cccc(n1)c1nn2c(c1c1ccc(cc1)F)CCC2,2620,5.582
CHEMBL1165063,Cc1cccc(n1)c1cn(nc1c1ccc2c(c1)cccn2)Cc1cccc(c1)C(=O)N,61,7.215
CHEMBL1766444,Cc1cccc(n1)c1nn(cc1c1ccc2c(c1)cccn2)CC(=O)Nc1cccc(c1)C(=O)N,75,7.125
CHEMBL3260625,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cc(C)cc(c1)C,14,7.854
CHEMBL411297,CCN(CCOc1ccc2c(c1)nccc2c1c2CCCn2nc1c1ccccn1)C,85,7.071
CHEMBL341534,Clc1ccc(nc1)c1n[nH]cc1c1ccnc2c1cccc2,1760,5.754
CHEMBL496862,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)C,34,7.469
CHEMBL1271966,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)CC,625,6.204
CHEMBL500435,O=C1Nc2c(/C/1=C(\c1ccccc1)/Nc1ccc(cc1)CN1CCCCC1)cccc2,3462,5.461
CHEMBL1269806,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)CN1CCN(CC1)C)C)C,7,8.155
CHEMBL1272181,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)C(=O)O)C,782,6.107
CHEMBL1272236,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)C(=O)OC)C,1970,5.706
CHEMBL1272237,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccccc1)C,2586,5.587
CHEMBL1272020,CCNC(=O)c1ccc2c(c1)NC(=O)/C/2=C\Nc1ccc(cc1)N(C(=O)CN1CCN(CC1)C)C,15,7.824
CHEMBL447486,Nc1nc(c(s1)c1ccnc2c1cccc2)c1ccc(cn1)Cl,1770,5.752
CHEMBL575720,Cc1nc(c2ccccn2)c(cc1C)Oc1ccnc(c1)Nc1ccccc1N1CCOCC1,739,6.131
CHEMBL1165041,Cc1cccc(n1)c1[nH]c(nc1c1ccc2c(n1)cccn2)Cc1cccc(c1)C(=O)N,2600,5.585
CHEMBL330814,Oc1ccc(cc1)c1c2CCCn2nc1c1cccc(n1)C,47,7.328
CHEMBL550483,Cc1cccc(n1)c1nc(Nc2ccc3c(c2)scn3)c2c(n1)cccc2,646,6.19
CHEMBL1835623,Cc1cccc(n1)c1nn(cc1c1ccc2n(c1)ncn2)C(=S)Nc1cc(F)cc(c1)F,3.2,8.495
CHEMBL1824432,N#Cc1cccc(c1)NC(=O)Cn1nc(c(c1)c1ccc2c(c1)nccn2)c1cccc(n1)C,153,6.815
CHEMBL1828640,Cn1ncc(c1)c1nccc(c1)c1c[nH]nc1c1ccccn1,68,7.167
CHEMBL1829512,CN1CCN(CC1)c1ccc(cn1)c1nccc(c1)c1c[nH]nc1c1ccccn1,32,7.495
CHEMBL1271470,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)CN(C)C)C)C,29,7.538
CHEMBL496861,CN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)C,35,7.456
CHEMBL1272291,CCN(C(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(C(=O)C)CCN(C)C)C,8,8.097
CHEMBL2325040,Cc1cccc(n1)n1nnc(c1c1ccc2c(c1)nccn2)Cc1ccccc1,4690,5.329
CHEMBL2324828,CC(CCc1nnn(c1c1ccc2c(c1)nccn2)c1cccc(n1)C)C,8600,5.066
CHEMBL3260629,CN(Cc1cccc(c1F)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C)C,11,7.959
CHEMBL3260630,Cc1cccc(n1)c1[nH]c(nc1c1ccc2n(c1)ncn2)CNc1cccc(c1F)CN1CCCC1,22.1,7.656
CHEMBL3260899,N#Cc1cccc(c1CN1CCOCC1)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C,8.1,8.092
CHEMBL3260907,N#Cc1ccc(c(c1)NCc1[nH]c(c(n1)c1ccc2n(c1)ncn2)c1cccc(n1)C)CN1CCOCC1,4.8,8.319
CHEMBL1957662,OC(=O)CCCCc1nc(c([nH]1)c1ccc2c(c1)OCO2)c1scc(n1)C,30,7.523
CHEMBL524647,CC(NC(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)CN1CCCCC1)C,318,6.498
CHEMBL1272128,CCNC(=O)c1ccc2c(c1)NC(=O)/C/2=C(/c1ccccc1)\Nc1ccc(cc1)N(S(=O)(=O)C)CCN(C)C,1,9
