ID,SaaNH,n9FaHRing,naHRing,JGI5,MATS1c,n9FHRing,PEOE_VSA1,NsOH,Xch-6d,AATSC3i
CHEMBL2024689,0.0,0,3,0.022668129,-0.500327496,0,4.567099648,0,0.386082763,-0.152100369
CHEMBL1835530,0.0,1,4,0.022021277,-0.405084873,1,10.05365156,0,0.568041382,-0.0058011090000000005
CHEMBL1835533,0.0,1,4,0.024021991,-0.573384718,1,11.05045608,0,0.568041382,-0.062069435
CHEMBL377711,0.0,1,3,0.015876906,-0.210045135,1,9.467009379,0,0.8107686009999999,0.096517023
CHEMBL482729,0.0,0,1,0.021556713,-0.321966057,0,14.21058886,0,0.293700392,-0.135160967
CHEMBL2024691,2.627701427,0,3,0.019617117,-0.541535578,0,4.983978521,0,0.39856859,-0.08259546799999999
CHEMBL584901,0.0,1,3,0.018201754,-0.244587902,1,4.567099648,0,0.736890192,0.070820751
CHEMBL582791,0.0,0,3,0.019976852,-0.64777644,0,5.733667477000001,0,0.442044204,0.177800175
CHEMBL574621,0.0,0,2,0.021037582000000003,-0.355080494,0,24.26424042,0,0.240950962,-0.028296842000000006
CHEMBL125738,3.0168794880000003,0,2,0.020241546000000003,-0.246228038,0,0.0,0,0.30274943,0.040481547
CHEMBL1271472,0.0,0,0,0.020728597,-0.541590345,1,15.95036581,0,0.5905383129999999,-0.110996491
CHEMBL1272182,0.0,0,0,0.02875,-0.540011196,1,20.43339667,0,0.48847624,-0.003128374
CHEMBL497724,0.0,0,0,0.021431262000000003,-0.535014358,1,15.95036581,0,0.5905383129999999,-0.195504618
CHEMBL1271578,0.0,0,0,0.020625,-0.539737815,1,15.95036581,0,0.5905383129999999,-0.135271935
CHEMBL1271577,0.0,0,0,0.025033525,-0.533306299,1,20.85027554,0,0.48847624,-0.16378479
CHEMBL1271683,0.0,0,0,0.028326118,-0.570768064,1,20.43339667,0,0.48847624,-0.012724531
CHEMBL1271965,0.0,0,0,0.027945736,-0.566063242,1,25.75018527,0,0.396608802,-0.052968855
CHEMBL1272076,0.0,0,0,0.030099715,-0.567232162,1,25.75018527,0,0.396608802,-0.10927885
CHEMBL482728,0.0,0,1,0.019290123,-0.309268411,0,14.21058886,0,0.308992343,-0.089288083
CHEMBL260240,0.0,0,3,0.018318182,-0.5957413810000001,0,4.736862953999999,0,0.572623765,0.162742411
CHEMBL409525,0.0,0,3,0.020443376,-0.184376793,0,9.636772685,0,0.591352505,0.139999268
CHEMBL260147,0.0,0,3,0.019583333,-0.34042950200000005,0,5.106527395,1,0.591352505,0.1687753
CHEMBL408181,0.0,0,3,0.020188679,-0.38183437,0,4.736862953999999,0,0.572623765,0.15732273300000002
CHEMBL205158,2.967866825,0,3,0.019547804,-0.230681941,0,9.473725907999999,0,0.506873575,0.215529527
CHEMBL383523,2.843224727,0,3,0.025084877,-0.403861432,0,0.0,0,0.404811503,-0.321958105
CHEMBL203619,0.0,1,3,0.017613636000000002,-0.29676558,1,9.673627043,1,0.727435268,0.104254369
CHEMBL202943,2.930680267,0,3,0.021534722000000003,-0.269653478,0,4.736862953999999,0,0.404811503,0.018077482
CHEMBL381948,2.9020229360000003,0,3,0.02,-0.254495542,0,0.0,0,0.404811503,-0.007373462
CHEMBL383433,2.955525321,0,3,0.016960784,-0.20172074,0,0.0,0,0.404811503,-0.022226636
CHEMBL129280,2.905315571,0,2,0.014611111,-0.16810701600000005,0,0.0,0,0.340206909,-0.019411961
CHEMBL1271736,0.0,0,0,0.024262023,-0.558635907,1,25.75018527,0,0.48847624,-0.033069412
