,avg_score,ci_bound,cv_scores,feature_idx,feature_names,std_dev,std_err
40,-0.391169641,0.137584568,[-0.38381348 -0.36219829 -0.48394877 -0.21095888 -0.51492878],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'ATSC1c', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.107045468,0.053522734
39,-0.372502693,0.12295806,[-0.3607756  -0.36412208 -0.4718816  -0.20532573 -0.46040845],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 46, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'AATSC3i', 'FCSP3', 'AATS8d', 'SssNH')",0.095665548,0.047832774
38,-0.379943938,0.125451661,[-0.39982583 -0.36057018 -0.48114161 -0.20369031 -0.45449176],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'SMR_VSA9', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.097605655,0.048802827
37,-0.387826687,0.155214382,[-0.36143875 -0.35147751 -0.47457678 -0.19821684 -0.55342355],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 23, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'PEOE_VSA1', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.120762062,0.060381031
36,-0.384512961,0.146373368,[-0.36130431 -0.35895529 -0.47744567 -0.19804676 -0.52681278],"(0, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 17, 18, 19, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'n6HRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.113883453,0.056941726
35,-0.392534387,0.143880412,[-0.39160183 -0.36441924 -0.46440958 -0.20411367 -0.53812761],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 18, 19, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'PEOE_VSA2', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.111943849,0.055971924
34,-0.373704352,0.128528475,[-0.36606276 -0.34126174 -0.47771147 -0.20752655 -0.47595924],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 24, 26, 27, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'nBondsM', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.09999952,0.04999976
33,-0.380208896,0.145361178,[-0.38914415 -0.3407414  -0.48370279 -0.18729399 -0.50016214],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 24, 26, 28, 29, 30, 31, 32, 33, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'SRW09', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.113095935,0.056547967
32,-0.374559586,0.130130798,[-0.36978068 -0.37114531 -0.46439967 -0.19264201 -0.47483025],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 24, 26, 28, 29, 30, 31, 32, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'SlogP_VSA1', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.101246182,0.050623091
31,-0.372571688,0.126632311,[-0.35955204 -0.33886066 -0.47527819 -0.21208111 -0.47708644],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 32, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'SRW07', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.09852424,0.04926212
30,-0.370916118,0.141313287,[-0.36224136 -0.33125912 -0.46820173 -0.19130933 -0.50156904],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 36, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'C2SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.109946538,0.054973269
29,-0.368435761,0.13940087,[-0.3524456  -0.34023731 -0.46661853 -0.18868402 -0.49419335],"(0, 2, 3, 4, 6, 8, 9, 10, 12, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'NaasN', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.108458613,0.054229307
28,-0.364711523,0.118415468,[-0.35903377 -0.3302705  -0.46088193 -0.21339179 -0.45997963],"(0, 2, 3, 4, 6, 8, 9, 10, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 39, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'PEOE_VSA3', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.092131257,0.046065628
27,-0.358676316,0.098481144,[-0.38442356 -0.3408144  -0.42720072 -0.21859501 -0.42234789],"(0, 2, 3, 4, 6, 8, 9, 10, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'NaaN', 'nFaHRing', 'nFHRing', 'nHRing', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.076621676,0.038310838
26,-0.355061393,0.097608019,[-0.35083484 -0.33687808 -0.40953232 -0.22721254 -0.45084918],"(0, 2, 3, 4, 8, 9, 10, 13, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'nHRing', 'SMR_VSA3', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.075942355,0.037971177
25,-0.339202508,0.084639938,[-0.33455215 -0.32749096 -0.42742414 -0.22857603 -0.37796927],"(0, 2, 3, 4, 8, 9, 10, 17, 19, 20, 22, 26, 28, 29, 30, 31, 35, 40, 41, 42, 43, 44, 47, 48, 49)","('NaaNH', 'n9FaHRing', 'n6aHRing', 'naHRing', 'nFaHRing', 'nFHRing', 'nHRing', 'JGI5', 'SaasN', 'MATS1c', 'nN', 'n6aRing', 'MATS3i', 'GATS4c', 'MATS2c', 'NsOH', 'C3SP2', 'Xch-6d', 'nBase', 'AATSC5i', 'SlogP_VSA6', 'BIC2', 'FCSP3', 'AATS8d', 'SssNH')",0.065852747,0.032926374
